Date,Revenue,year,month,weekday,quarter,day_of_month,Revenue_lag_1,Revenue_lag_7,Revenue_lag_14,Revenue_lag_28,Revenue_rolling_mean_7,Revenue_rolling_mean_28,Revenue_rolling_std_7,Revenue_rolling_std_28,sessions_lag_1,sessions_lag_7,page_views_lag_1,page_views_lag_7,bounce_rate_rolling_7,avg_session_duration_rolling_7,promo_line_share_lag_1,total_discount_amount_lag_1,total_orders_lag_1,cancelled_share_lag_1,delivered_share_lag_1,inventory_month_key,fill_rate_prev_month,stockout_share_prev_month,potential_revenue_lost_prev_month
1/1/13,5304546.99,2013,1,Tuesday,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,0.096774194,0.797653959,2012-12,0.950556125,0.703786192,645832.5207
2/1/13,1606940.44,2013,1,Wednesday,1,2,5304546.99,0,0,0,0,0,0,0,9760,0,39093,0,0,0,0,0,288,0.09375,0.78125,2012-12,0.950556125,0.703786192,645832.5207
3/1/13,2281680.01,2013,1,Thursday,1,3,1606940.44,0,0,0,0,0,0,0,10456,0,47611,0,0,0,0,0,47,0.085106383,0.872340426,2012-12,0.950556125,0.703786192,645832.5207
4/1/13,2376895.46,2013,1,Friday,1,4,2281680.01,0,0,0,0,0,0,0,10076,0,36963,0,0,0,0,0,81,0.098765432,0.814814815,2012-12,0.950556125,0.703786192,645832.5207
5/1/13,2509462.77,2013,1,Saturday,1,5,2376895.46,0,0,0,0,0,0,0,9973,0,53078,0,0,0,0,0,83,0.180722892,0.722891566,2012-12,0.950556125,0.703786192,645832.5207
6/1/13,2603356.52,2013,1,Sunday,1,6,2509462.77,0,0,0,0,0,0,0,10223,0,36790,0,0,0,0,0,78,0.08974359,0.769230769,2012-12,0.950556125,0.703786192,645832.5207
7/1/13,3048100.39,2013,1,Monday,1,7,2603356.52,0,0,0,0,0,0,0,9545,0,47160,0,0,0,0,0,93,0.096774194,0.838709677,2012-12,0.950556125,0.703786192,645832.5207
8/1/13,2449700.42,2013,1,Tuesday,1,8,3048100.39,5304546.99,0,0,2818711.797,0,1177992.871,0,10203,9760,32749,39093,0.004698571,189.0142857,0,0,113,0.07079646,0.867256637,2012-12,0.950556125,0.703786192,645832.5207
9/1/13,2049715.7,2013,1,Wednesday,1,9,2449700.42,1606940.44,0,0,2410876.573,0,431757.8461,0,9456,10456,31482,47611,0.004592857,201.8,0,0,90,0.077777778,0.866666667,2012-12,0.950556125,0.703786192,645832.5207
10/1/13,2794331.46,2013,1,Thursday,1,10,2049715.7,2281680.01,0,0,2474130.181,0,309463.4506,0,9162,10076,46717,36963,0.004597143,229.2714286,0,0,75,0.08,0.76,2012-12,0.950556125,0.703786192,645832.5207
11/1/13,2343077.25,2013,1,Friday,1,11,2794331.46,2376895.46,0,0,2547366.103,0,316899.8403,0,9887,9973,38472,53078,0.004801429,232.3857143,0,0,79,0.037974684,0.810126582,2012-12,0.950556125,0.703786192,645832.5207
12/1/13,2814596.53,2013,1,Saturday,1,12,2343077.25,2509462.77,0,0,2542534.93,0,320172.705,0,9412,10223,46916,36790,0.004507143,244.7285714,0,0,79,0.075949367,0.860759494,2012-12,0.950556125,0.703786192,645832.5207
13/1/13,2919719.62,2013,1,Sunday,1,13,2814596.53,2603356.52,0,0,2586125.467,0,335332.2154,0,8730,9545,33336,47160,0.004308571,248.2571429,0,0,92,0.097826087,0.815217391,2012-12,0.950556125,0.703786192,645832.5207
14/1/13,3077677.28,2013,1,Monday,1,14,2919719.62,3048100.39,0,0,2631320.196,0,358556.4515,0,8818,10203,35427,32749,0.004214286,254.7142857,0,0,112,0.107142857,0.75,2012-12,0.950556125,0.703786192,645832.5207
15/1/13,2536405.93,2013,1,Tuesday,1,15,3077677.28,2449700.42,5304546.99,0,2635545.466,0,364412.8427,0,8230,9456,35402,31482,0.004152857,261.7714286,0,0,120,0.066666667,0.808333333,2012-12,0.950556125,0.703786192,645832.5207
16/1/13,1849789.43,2013,1,Wednesday,1,16,2536405.93,2049715.7,1606940.44,0,2647931.967,0,358468.178,0,8102,9162,39490,46717,0.00416,279.1428571,0,0,117,0.094017094,0.811965812,2012-12,0.950556125,0.703786192,645832.5207
17/1/13,2173214.95,2013,1,Thursday,1,17,1849789.43,2794331.46,2281680.01,0,2619371.071,0,417224.0289,0,9373,9887,37034,38472,0.004212857,275.0857143,0,0,76,0.131578947,0.789473684,2012-12,0.950556125,0.703786192,645832.5207
18/1/13,2099249.56,2013,1,Friday,1,18,2173214.95,2343077.25,2376895.46,0,2530640.141,0,439277.2935,0,9819,9412,48840,46916,0.004142857,257.5285714,0,0,83,0.120481928,0.759036145,2012-12,0.950556125,0.703786192,645832.5207
19/1/13,2477132.79,2013,1,Saturday,1,19,2099249.56,2814596.53,2509462.77,0,2495807.614,0,465512.6394,0,10041,8730,35761,33336,0.004361429,249.5,0,0,96,0.114583333,0.75,2012-12,0.950556125,0.703786192,645832.5207
20/1/13,2522776.58,2013,1,Sunday,1,20,2477132.79,2919719.62,2603356.52,0,2447598.509,0,443971.7813,0,8746,8818,33440,35427,0.00459,253.7571429,0,0,94,0.138297872,0.776595745,2012-12,0.950556125,0.703786192,645832.5207
21/1/13,4100379.42,2013,1,Monday,1,21,2522776.58,3077677.28,3048100.39,0,2390892.36,0,396423.583,0,10270,8230,35184,35402,0.004774286,250.2,0,0,116,0.112068966,0.810344828,2012-12,0.950556125,0.703786192,645832.5207
